Nama,Kota,Umur,Gaji,Beli_Produk
Andi,Jakarta,25.0,5000000.0,Ya
Budi,Bandung,,6500000.0,Tidak
Citra,Jakarta,22.0,4500000.0,Ya
Dewi,Surabaya,30.0,,Ya
Eka,Bandung,28.0,7000000.0,Tidak
Fajar,,35.0,8000000.0,Ya
Gilang,Semarang,27.0,5500000.0,Ya
Hani,Jakarta,29.0,6000000.0,Tidak
Intan,Surabaya,24.0,,Ya
Joko,Bandung,32.0,7200000.0,Ya
Kiki,,26.0,4800000.0,Tidak
Lina,Jakarta,31.0,6800000.0,Ya
Maya,Semarang,,5300000.0,Tidak
Nanda,Surabaya,28.0,6200000.0,Ya
Oka,Bandung,34.0,7500000.0,Tidak
Putri,Jakarta,25.0,5100000.0,Ya
Qori,Semarang,29.0,,Tidak
Rizky,Surabaya,33.0,7800000.0,Ya
Sari,Bandung,,6100000.0,Ya
Tegar,,23.0,4600000.0,Tidak
Udin,Jakarta,36.0,8200000.0,Ya
Vina,Semarang,27.0,5400000.0,Tidak
Wawan,Surabaya,31.0,6900000.0,Ya
Xaverius,Bandung,29.0,6400000.0,Tidak
Yuni,,24.0,4900000.0,Ya
Zaki,Jakarta,35.0,,Tidak
Arif,Semarang,28.0,5800000.0,Ya
Bela,Surabaya,26.0,5200000.0,Tidak
Cahyo,Bandung,30.0,6700000.0,Ya
Dina,Jakarta,,6300000.0,Ya
Eko,Semarang,32.0,7100000.0,Tidak
Farah,Surabaya,27.0,5900000.0,Ya
Gatot,,34.0,7600000.0,Tidak
Hilda,Bandung,25.0,5000000.0,Ya
Iqbal,Jakarta,29.0,6500000.0,Ya
Jamilah,Semarang,31.0,6900000.0,Tidak
Kemal,Surabaya,,5500000.0,Ya
Lestari,,27.0,5800000.0,Tidak
Maman,Bandung,33.0,7400000.0,Ya
Nia,Jakarta,24.0,4700000.0,Ya
Oki,Semarang,28.0,,Tidak
Pratama,Surabaya,35.0,8100000.0,Ya
Ratu,Bandung,26.0,5300000.0,Tidak
Sigit,Jakarta,,6200000.0,Ya
Tari,,30.0,6800000.0,Tidak
Umar,Semarang,32.0,7300000.0,Ya
Vera,Surabaya,25.0,5100000.0,Ya
Wahyu,Bandung,29.0,6600000.0,Tidak
Yoga,Jakarta,34.0,7900000.0,Ya
Zahra,Semarang,27.0,,Ya
